C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 615, col 5, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 638, col 9, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 640, col 27, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 649, col 9, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 667, col 17, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 671, col 17, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 681, col 5, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 685, col 5, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 686, col 23, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 712, col 9, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 718, col 9, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 721, col 17, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 722, col 17, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 727, col 25, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 735, col 25, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 738, col 29, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 751, col 17, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 752, col 17, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 759, col 5, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 781, col 5, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 786, col 9, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 818, col 5, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
C:\Users\j.cerullouyi\Iris\workspace\luxotticaKi\modules\voltmx_sdk.js: line 825, col 9, Error - function argument has hardcoded string value (QuantumCop/no-hardcoded-strings)
